project_id,title,repo_url,tech_stack_tags,sector_tag,dept,faculty_guide_id,submission_date
PRJ_111,Smart Water Distribution Valve Controller with LoRaWAN Mesh Network,https://github.com/campus-lens/lora-water-valve,"IoT, Smart Cities, LoRaWAN, Embedded C, CivicTech",CivicTech,ECE,FAC_208,2025-11-25
PRJ_112,Automated EV Battery Swapping Station Load Balancer,https://github.com/campus-lens/ev-swap-balancer,"CleanTech, Smart Grid, Renewable Energy, Python, MQTT",CleanTech,EEE,FAC_203,2025-12-04
PRJ_113,Real-time Multimodal Driver Drowsiness and Distraction Alerter,https://github.com/campus-lens/driver-drowsiness-ai,"Edge AI, Computer Vision, Smart Mobility, PyTorch, OpenCV",CivicTech,CSE,FAC_208,2025-12-20
PRJ_114,Perishable Vegetable Quality Grading using Hyperspectral Imaging,https://github.com/campus-lens/veg-grade-hyperspectral,"AgriTech, IoT Sensors, Cold Chain, Computer Vision, Python",AgriTech,MECH,FAC_209,2026-01-05
PRJ_115,Micro-Merchant Instant Invoice Factoring Protocol,https://github.com/campus-lens/invoice-factoring-defi,"FinTech, Blockchain, FastPay, Solidity, Node.js",FinTech,ISE,FAC_205,2026-01-18
PRJ_116,Wearable ECG Arrhythmia Tele-Monitoring Band for Senior Citizens,https://github.com/campus-lens/wearable-ecg-band,"HealthTech, Wearables, Edge Computing, EHR, BLE",AssistiveTech,ECE,FAC_211,2026-02-10
PRJ_117,Zero-Trust Lateral Movement Detection in Kubernetes Clusters,https://github.com/campus-lens/k8s-zero-trust-detect,"Cybersecurity, Zero Trust, Network Security, eBPF, Go",Cybersecurity,CSE,FAC_210,2026-02-22
PRJ_118,Decentralized Electric Bicycle Charging Mesh for Tech Parks,https://github.com/campus-lens/ebike-mesh-charger,"CleanTech, Smart Grid, IoT, Renewable Energy, ESP32",CleanTech,EEE,FAC_212,2026-03-12
PRJ_119,AI-Assisted Automated Radiograph Scribing & Triage for Rural Clinics,https://github.com/campus-lens/rural-radiograph-triage,"HealthTech, BioInformatics, Computer Vision, PyTorch, FastAPI",AssistiveTech,AI&DS,FAC_211,2026-03-28
PRJ_120,Hyperlocal Bengaluru Bus Fleet Dispatch Optimizer using Reinforcement Learning,https://github.com/campus-lens/bmtc-bus-rl-dispatch,"Smart Mobility, Edge AI, IoT, Python, Ray RLlib",CivicTech,CSE,FAC_201,2026-04-15
PRJ_121,AI Soil Nutrient Scanner using Near-Infrared Spectroscopy,https://github.com/campus-lens/prj-121-ai-soil-nutrient-scanner-,"AgriTech, IoT Sensors, PyTorch, Edge Computing",AgriTech,MECH,FAC_209,2025-11-29
PRJ_122,Kannada Dialect Sentiment Analyzer for Agri Market Prices,https://github.com/campus-lens/prj-122-kannada-dialect-sentiment,"NLP, Indic NLP, Transformer Models, Python, FastAPI",EdTech,AI&DS,FAC_207,2025-11-07
PRJ_123,Campus Smart Energy Auditor & Appliance Disaggregation,https://github.com/campus-lens/prj-123-campus-smart-energy-audit,"CleanTech, Smart Grid, Machine Learning, Python",CleanTech,EEE,FAC_203,2026-01-10
PRJ_124,Decentralized Academic Credential Verification on Polygon,https://github.com/campus-lens/prj-124-decentralized-academic-cr,"FinTech, Blockchain, Cryptography, Solidity, Web3.py",EdTech,ISE,FAC_205,2026-01-02
PRJ_125,Privacy-Preserving Federated ICU Patient Mortality Predictor,https://github.com/campus-lens/prj-125-privacy-preserving-federa,"HealthTech, Federated Learning, Differential Privacy, PyTorch",HealthTech,CSE,FAC_201,2025-12-28
PRJ_126,Automated Thermal Anomaly Detection in PV Solar Farms using Drones,https://github.com/campus-lens/prj-126-automated-thermal-anomaly,"CleanTech, Drone Vision, Computer Vision, Edge AI",CleanTech,AI&DS,FAC_208,2025-12-06
PRJ_127,Autonomous Weed Removal Rover for Hydroponic Polyhouses,https://github.com/campus-lens/prj-127-autonomous-weed-removal-r,"AgriTech, Robotics, ROS2, Computer Vision, C++",AgriTech,ECE,FAC_204,2025-11-27
PRJ_128,Ultra-Low Latency Algorithmic Trading Gateway with FPGA,https://github.com/campus-lens/prj-128-ultra-low-latency-algorit,"FinTech, FPGA, C++, Low Latency, FastPay",FinTech,ECE,FAC_208,2026-03-20
PRJ_129,Smart Garbage Compactor with Fill-Level Prediction & Route Optimizer,https://github.com/campus-lens/prj-129-smart-garbage-compactor-w,"CivicTech, IoT, Smart Cities, Python, Flask",CivicTech,MECH,FAC_209,2025-11-23
PRJ_130,Container Escape Detection in Multi-Tenant Cloud Environments,https://github.com/campus-lens/prj-130-container-escape-detectio,"Cybersecurity, Zero Trust, Network Security, Linux Kernel, Go",Cybersecurity,CSE,FAC_210,2026-02-17
PRJ_131,Non-Intrusive Sleep Apnea Detection using Millimeter-Wave Radar,https://github.com/campus-lens/prj-131-non-intrusive-sleep-apnea,"HealthTech, Wearables, Edge Computing, Signal Processing",AssistiveTech,ECE,FAC_211,2025-11-09
PRJ_132,Decentralized Micro-Insurance for Monsoon Crop Failure,https://github.com/campus-lens/prj-132-decentralized-micro-insur,"FinTech, Blockchain, Smart Contracts, Weather API",FinTech,ISE,FAC_205,2025-11-08
PRJ_133,Smart Warehouse Pallet Tracker with Passive RFID & BLE Beacons,https://github.com/campus-lens/prj-133-smart-warehouse-pallet-tr,"LogisticsTech, IoT Sensors, Cold Chain, BLE, Python",LogisticsTech,MECH,FAC_209,2025-11-24
PRJ_134,Spiking Neural Network for Edge Keyword Spotting in Microcontrollers,https://github.com/campus-lens/prj-134-spiking-neural-network-fo,"DeepTech, Neuromorphic Vision, Spike Neural Networks, C++",DeepTech,AI&DS,FAC_206,2025-12-26
PRJ_135,Dynamic Traffic Signal Timing Optimization using Queue-Length Estimation,https://github.com/campus-lens/prj-135-dynamic-traffic-signal-ti,"CivicTech, Computer Vision, Edge AI, OpenCV, TensorRT",CivicTech,CSE,FAC_201,2025-12-30
PRJ_136,Hybrid Wind-Solar Microgrid Simulator for Hilly Terrains,https://github.com/campus-lens/prj-136-hybrid-wind-solar-microgr,"CleanTech, Smart Grid, Renewable Energy, MATLAB, Python",CleanTech,EEE,FAC_212,2026-03-10
PRJ_137,Post-Quantum Cryptographic Key Exchange for Embedded Microcontrollers,https://github.com/campus-lens/prj-137-post-quantum-cryptographi,"Cybersecurity, Cryptography, Rust, Embedded Systems",Cybersecurity,CSE,FAC_210,2025-11-07
PRJ_138,Automated Silk Yarn Quality Inspection using High-Speed Line Scan Cameras,https://github.com/campus-lens/prj-138-automated-silk-yarn-quali,"DeepTech, Computer Vision, Edge AI, Industrial IoT",DeepTech,ECE,FAC_204,2026-03-24
PRJ_139,Indic Multi-Lingual Chatbot for Citizen Grievance Redressal,https://github.com/campus-lens/prj-139-indic-multi-lingual-chatb,"NLP, Indic NLP, LLMs, LangChain, FastAPI",HeritageTech,AI&DS,FAC_207,2025-12-21
PRJ_140,Point-of-Care Microfluidic Blood Cell Analyzer with Edge AI,https://github.com/campus-lens/prj-140-point-of-care-microfluidi,"HealthTech, BioInformatics, Edge AI, Python, Embedded C",SpaceTech,AI&DS,FAC_211,2026-03-20
